,,, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21,Q22,Q23,, Q25, Q26, Q27, Q28,, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39,,,, Q43, Q44, Q45, Q46, Q47
100728366,,,3,2,Other: ,1,Other: ,Other: ,Don't know what it is,Other: ,2,Don't know what it is,1,1,3,3,1,2,2,2,2,Other: ,2,3,2,,3,3,3,3,,Other: ,Other: ,Don't know what it is,Other: ,0,2,1,1,Other: ,1,,,,3,3,3,2,3
100728609,,,3,3,3,3,3,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,Don't know what it is,2,2,2,2,Other: ,Other: ,2,1,2,2,2,,3,2,3,2,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2
100729428,,,3,3,3,3,2,2,2,2,1,2,1,2,3,2,2,2,2,2,3,1,3,2,1,,3,3,3,3,,2,2,2,1,1,1,2,2,2,2,,,,1,1,1,3,2
100731687,,,2,2,3,Don't know what it is,Don't know what it is,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1,2,1,1,,1,1,1,2,,1,2,2,3,3,3,3,3,2,2,,,,2,1,2,3,2
100732281,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,,1,2,1,1,,2,2,2,2,2,2,2,1,2,2,,,,0,Don't know what it is,0,3,1
100732416,,,2,2,0,1,1,2,1,0,1,2,1,0,3,Other: ,2,2,0,1,2,1,Don't know,3,0,,2,2,0,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,0,3,3,1,,,,0,0,0,1,1
100736196,,,3,1,2,2,1,2,0,1,1,2,2,2,2,2,3,2,3,3,2,2,3,2,3,,2,2,2,2,,1,1,1,Don't know what it is,Don't know what it is,1,1,3,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,Other: 
100736871,,,2,2,2,1,Don't know what it is,Other: ,Don't know what it is,3,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Other: ,Other: ,2,2,1,2,Don't know what it is,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,3,3,0
100740309,,,2,2,2,Don't know what it is,2,Don't know what it is,Don't know what it is,2,Don't know what it is,3,2,1,2,2,Don't know what it is,Don't know what it is,2,2,1,2,2,2,Don't know what it is,,2,1,1,Don't know what it is,,2,2,2,Don't know what it is,1,Don't know what it is,2,2,Don't know what it is,Don't know what it is,,,,2,1,2,1,2
100742865,,,Other: ,Other: ,Other: ,1,Other: ,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,2,1,1,1,1,1,Other: ,Don't know,1,1,,2,2,2,Don't know what it is,,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,1,1,2,2
100746132,,,2,2,2,2,3,,2,3,2,2,2,2,2,1,2,2,,2,1,1,2,2,1,,1,1,1,2,,2,2,2,2,2,2,2,3,2,2,,,,3,3,2,2,2
100750938,,,Other: ,2,2,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,3,1,2,0,,0,1,Other: ,Don't know what it is,,0,1,0,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,1,Don't know what it is,Don't know what it is,,,,0,0,0,Other: ,0
100752423,,,3,3,3,3,Other: ,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,,3,3,3,2,,3,3,3,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,2,2,,,,2,2,2,2,2
100755321,,,2,2,2,2,Don't know what it is,2,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,0,,2,2,2,2,,2,2,1,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,1,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
100756311,,,1,1,2,1,1,2,2,1,1,1,Don't know what it is,0,1,1,1,2,2,2,1,2,2,1,1,,1,1,0,0,,1,1,2,2,2,2,2,2,1,1,,,,0,0,0,1,0
100759011,,,2,,1,2,2,2,1,2,2,2,1,1,2,3,2,2,2,2,2,1,1,1,1,,2,2,2,Don't know what it is,,1,1,2,2,2,2,2,3,2,1,,,,1,1,1,2,1
100763079,,,2,2,2,2,2,Don't know what it is,0,1,2,2,Don't know what it is,Don't know what it is,2,2,2,1,2,2,2,1,2,1,0,,1,1,1,1,,1,1,2,2,Don't know what it is,1,2,2,2,1,,,,1,1,1,2,2
100766310,,,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3,1,3,3,2,,3,3,3,3,,2,2,2,2,2,2,2,3,3,3,,,,2,2,2,2,2
100767363,,,2,1,1,Don't know what it is,1,Don't know what it is,Don't know what it is,0,1,2,0,Don't know what it is,1,2,Don't know what it is,1,Don't know what it is,Don't know what it is,1,2,Don't know,2,Don't know what it is,,1,Don't know what it is,0,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,,Don't know what it is,2,0
100769982,,,2,2,3,2,1,2,1,1,2,Don't know what it is,2,2,Other: ,2,2,3,2,2,3,2,Don't know,1,Don't know what it is,,2,2,2,2,,2,2,2,2,2,3,Don't know what it is,3,2,2,,,,Don't know what it is,Don't know what it is,2,2,2
100773474,,,2,3,Other: ,2,1,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,0,,1,1,Other: ,Don't know what it is,,Other: ,1,1,Other: ,Other: ,1,2,2,2,1,,,,1,1,2,3,0
100774482,,,2,2,2,1,3,2,1,3,2,3,2,,3,3,3,2,2,2,2,2,2,1,,,1,2,1,,,Don't know what it is,Don't know what it is,2,3,3,,3,2,2,,,,,2,2,3,2,2
100777839,,,2,2,2,2,1,1,1,1,2,2,2,Don't know what it is,2,2,1,Don't know what it is,1,2,1,2,3,1,0,,1,1,1,Don't know what it is,,0,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,Don't know what it is,1,1,,,,1,1,1,1,0
100778118,,,2,2,2,1,3,2,1,0,1,1,0,0,0,1,2,2,2,2,1,2,Don't know,1,0,,1,1,1,1,,0,1,1,2,1,0,2,1,2,1,,,,1,1,1,2,2
100778253,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,Don't know,1,0,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,3,3,1,2,2
100781070,,,2,2,3,2,2,1,1,3,3,3,2,2,2,2,1,1,2,2,2,2,2,2,0,,1,2,1,2,,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,1,,2,1,1,,,,1,1,1,1,1
100781259,,,Other: ,1,1,2,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,Don't know what it is,,1,1,1,1,,0,2,2,2,2,2,2,2,2,2,,,,Don't know what it is,2,0,Other,2
100781259,,,Other: ,1,1,2,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,Don't know what it is,,1,1,1,1,,0,2,2,2,2,2,2,2,2,2,,,,Don't know what it is,2,0,Other,2
100786560,,,3,2,2,Other: ,Don't know what it is,2,2,3,2,3,Other: ,Other: ,3,3,2,2,3,3,3,1,2,2,1,,2,3,2,Don't know what it is,,Other: ,2,3,3,Other: ,3,3,3,3,3,,,,3,3,3,2,3
100787244,,,Other: ,Other: ,2,2,2,Other: ,1,Other: ,2,2,Other,0,1,1,Other: ,2,Other: ,Other: ,2,1,2,2,Don't know what it is,,0,2,0,Don't know what it is,,Other: ,2,1,Other: ,Other: ,2,2,2,Other: ,Other: ,,,,Other: ,Other: ,Other: ,2,3
100787253,,,3,3,3,2,3,2,1,3,3,2,Don't know what it is,Don't know what it is,3,3,2,2,2,2,3,2,Don't know,3,0,,3,3,3,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,3,3,3,Don't know what it is,Don't know what it is,,,,3,3,3,2,3
100788837,,,3,3,3,2,1,1,Don't know what it is,1,1,2,2,2,3,3,3,2,2,2,3,1,2,2,Don't know what it is,,3,3,3,Other: ,,0,1,2,2,1,0,3,2,3,2,,,,2,0,2,3,0
100793994,,,3,2,3,2,2,3,3,2,2,3,Don't know what it is,Don't know what it is,3,3,3,3,3,3,3,1,Don't know,3,2,,3,3,3,Don't know what it is,,2,3,2,3,3,3,3,3,2,0,,,,3,2,3,2,3
100794102,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,2,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,3
100795587,,,2,2,3,2,3,0,2,1,2,2,1,0,2,2,2,3,2,2,1,2,2,2,2,,2,3,2,2,,1,0,2,2,2,2,1,2,1,2,,,,0,0,0,2,3
100796919,,,1,2,1,2,Don't know what it is,2,Don't know what it is,0,2,1,2,0,2,2,1,1,Don't know what it is,Don't know what it is,1,2,2,1,1,,1,1,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
100801059,,,3,2,2,Don't know what it is,1,Don't know what it is,1,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,3,2,2,2,Don't know what it is,Don't know what it is,2,2,2,1,0,,1,1,1,1,,1,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,0,0,0,3,2
100803021,,,2,2,2,2,1,1,1,2,2,2,Don't know what it is,Don't know what it is,3,2,2,2,1,1,1,2,2,2,0,,2,1,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,2,,,,2,2,2,2,3
100805865,,,1,2,3,1,1,1,Don't know what it is,0,1,1,2,0,1,1,1,1,1,1,1,2,1,Don't know what it is,Don't know what it is,,1,1,1,1,,1,0,1,1,1,Other,Don't know what it is,1,1,1,,,,0,0,0,2,2
100809600,,,3,2,2,2,1,2,Don't know what it is,2,3,3,1,Don't know what it is,2,2,1,1,3,3,2,1,2,1,0,,1,1,1,1,,2,,2,2,3,3,2,3,3,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
100810230,,,3,3,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,1,2,Other: ,2,3,3,2,2,2,2,2,1,3,Don't know what it is,Don't know what it is,,3,2,2,2,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,,,,1,0,0,1,3
100813083,,,3,2,0,2,2,2,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,3,0,2,2,0,3,Don't know,3,Don't know what it is,,2,Don't know what it is,0,Don't know what it is,,0,2,0,0,Don't know what it is,Don't know what it is,3,3,2,1,,,,0,2,2,3,1
100813875,,,1,1,1,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,Don't know,0,0,,0,1,1,1,,0,0,1,1,1,2,2,2,2,1,,,,0,0,0,1,0
100817043,,,2,3,3,2,2,3,3,2,2,3,3,0,3,3,3,3,3,3,3,1,3,1,1,,1,1,1,3,,2,3,3,3,3,3,3,3,3,2,,,,0,1,1,1,3
100818051,,,3,3,3,2,2,Other: ,3,2,2,2,1,Other: ,3,3,3,3,3,3,3,2,2,3,1,,3,3,2,3,,3,3,3,Other,3,3,3,3,3,3,,,,2,2,2,2,3
100819428,,,3,2,2,1,1,1,1,1,1,1,Other: ,Other: ,,2,1,1,1,1,2,1,1,2,1,,2,1,1,1,,1,1,1,Other: ,Other: ,Other: ,2,1,Other: ,1,,,,2,2,2,3,1
100820823,,,3,2,2,2,1,2,3,2,2,3,1,1,3,3,3,3,2,2,3,2,2,1,0,,3,3,3,1,,0,0,3,2,2,2,2,3,3,2,,,,0,0,0,3,3
100820868,,,2,2,3,1,Other: ,1,1,3,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,3,3,3,2,2,3,1,2,2,Don't know what it is,,2,2,1,Don't know what it is,,Don't know what it is,1,1,Other: ,3,Don't know what it is,3,3,Other: ,3,,,,3,3,3,Other: ,1
100821957,,,3,2,2,2,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,2,3,3,2,2,2,3,3,2,2,,,,2,2,2,3,2
100824216,,,3,2,2,3,1,1,1,Other: ,Other: ,Other: ,Other: ,1,2,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,,Other: ,Other: ,Other: ,Other: ,,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,,,,Other: ,Other: ,Other: ,Other: ,Other: 
100825809,,,3,3,2,2,Don't know what it is,2,Don't know what it is,2,2,2,Other: ,3,3,3,3,3,2,2,3,2,2,2,Don't know what it is,,2,2,3,Don't know what it is,,0,2,2,2,1,1,2,3,2,3,,,,3,3,3,3,3
100828509,,,3,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,1,3,3,1,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,2,2,3,1,3
100829247,,,3,3,2,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,2,2,2,2,2,2,Don't know,2,0,,2,2,2,2,,0,0,1,1,1,1,1,2,2,1,,,,0,0,0,Other,1
100834449,,,3,3,2,2,2,3,3,2,1,1,2,1,3,2,3,3,3,3,3,1,2,1,0,,2,2,2,1,,3,3,3,0,2,0,3,2,2,2,,,,2,3,2,2,3
100835376,,,2,2,1,2,3,3,3,1,2,2,2,Don't know what it is,Don't know what it is,0,2,1,1,2,0,1,2,1,1,,0,1,0,Don't know what it is,,Don't know what it is,Don't know what it is,2,2,2,2,2,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,1,2
100836276,,,3,3,3,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3,3,1,2,3,2,,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,,,,1,2,2,3,3
100838130,,,2,,3,,1,2,3,2,2,3,1,1,3,2,2,1,2,2,2,1,2,2,2,,2,2,3,2,,2,3,2,2,3,3,3,2,2,2,,,,1,2,1,2,2
100841694,,,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,Don't know,1,Don't know what it is,,2,2,1,2,,2,2,2,2,Don't know what it is,Don't know what it is,2,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,2
100844511,,,2,3,3,3,0,1,1,1,2,2,1,2,3,3,3,2,2,2,3,2,3,0,0,,3,2,1,3,,1,1,3,1,2,1,3,3,1,0,,,,2,0,1,2,Other: 
100848705,,,3,2,3,2,2,1,Don't know what it is,1,1,2,1,2,3,3,3,Other: ,3,3,2,2,3,3,Don't know what it is,,3,2,2,2,,Don't know what it is,2,0,0,2,1,3,3,2,2,,,,2,2,3,2,0
100853286,,,3,2,2,3,2,2,Don't know what it is,1,1,2,2,2,3,3,2,2,2,2,2,1,2,3,2,,3,2,2,2,,1,1,2,2,0,0,3,3,2,2,,,,2,0,0,3,0
100853799,,,3,2,2,2,2,2,1,3,3,2,1,1,3,3,3,2,3,3,3,1,2,2,2,,2,2,2,2,,2,2,3,3,3,2,3,3,2,2,,,,Don't know what it is,Don't know what it is,3,3,3
100855356,,,3,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,Don't know what it is,,2,2,2,2,,1,1,2,2,2,2,2,3,2,2,,,,2,1,1,2,2
100860729,,,2,2,2,3,2,2,3,3,2,2,3,2,3,2,2,3,3,3,2,1,Don't know,1,1,,Don't know what it is,2,2,2,,2,1,2,1,2,2,3,2,2,2,,,,2,2,2,1,3
100861638,,,3,3,3,1,1,0,0,0,2,1,1,0,1,2,2,2,1,1,1,2,1,0,Don't know what it is,,1,1,2,2,,0,0,2,2,1,2,3,2,2,1,,,,2,2,2,2,2
100862115,,,2,2,1,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,1,2,Don't know,2,1,,2,1,2,2,,1,1,1,1,2,2,3,2,3,2,,,,2,1,2,2,2
100862943,,,2,1,2,1,1,1,1,0,1,1,0,Don't know what it is,1,1,1,1,2,2,1,2,3,1,0,,Other: ,1,Other: ,1,,1,1,1,0,1,1,1,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,1
100864077,,,3,3,3,3,1,3,2,0,3,3,2,2,3,3,3,3,3,3,3,1,3,3,3,,3,3,3,3,,2,2,,3,3,3,3,3,3,3,,,,3,3,3,2,2
100865148,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,2,0,,2,2,1,3,,3,3,3,3,3,3,2,2,3,2,,,,3,3,,3,0
100866750,,,3,3,2,3,2,Don't know what it is,0,1,Don't know what it is,0,2,Don't know what it is,3,3,2,2,2,2,3,1,Don't know,3,Don't know what it is,,2,3,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,0,2,,,,2,2,2,3,3
100867353,,,2,1,2,2,2,,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,0,,1,1,1,1,,2,2,1,2,1,2,2,2,2,2,,,,1,1,2,2,2
100868442,,,Other: ,Other: ,Other: ,Other: ,2,Other: ,Don't know what it is,3,2,3,2,2,2,Other: ,1,2,Other: ,Other: ,2,Other: ,Don't know,3,Don't know what it is,,1,1,1,2,,Other: ,Other: ,3,Don't know what it is,Other: ,Other: ,3,3,Other: ,Other: ,,,,Other: ,Other: ,2,Other: ,1
100869108,,,3,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,0,2,3,Other: ,,Other: ,3,3,Don't know what it is,,2,2,2,2,3,2,3,2,2,2,,,,2,2,3,3,Other: 
100869675,,,2,2,2,2,3,1,2,3,2,3,3,Don't know what it is,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,2,1,2,3,3,,3,1,1,3,,2,2,2,3,Don't know what it is,3,3,3,3,3,,,,Don't know what it is,Don't know what it is,2,2,Don't know what it is
100869729,,,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,1,3,2,2,,2,2,1,1,,2,2,2,2,3,2,3,3,3,3,,,,3,3,3,3,3
100870098,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,3,3
100870125,,,3,2,2,2,3,1,2,2,1,1,3,0,3,3,3,2,2,2,3,2,3,2,Don't know what it is,,2,3,3,1,,3,3,2,0,1,2,3,2,3,2,,,,2,2,2,2,3
100877604,,,Other: ,2,Other: ,Other: ,Other: ,Don't know what it is,1,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: ,3,Other: ,1,Other: ,1,3,2,2,3,1,,3,Other: ,3,1,,0,2,2,Don't know what it is,Don't know what it is,3,3,3,1,3,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,3
100881645,,,2,2,2,2,1,2,0,0,0,3,0,3,3,3,2,Other: ,2,2,2,2,2,3,3,,2,3,2,2,,3,3,0,2,0,0,3,3,2,2,,,,3,3,3,2,3
100881915,,,0,2,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,2,2,1,0,,1,1,0,0,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,0
102227262,,,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,,1,1,1,Don't know what it is,,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,2,2,Don't know what it is,,,,2,2,2,2,2
102227469,,,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,2,1,2,3,3,,2,2,2,2,,2,2,2,2,2,2,3,2,2,2,,,,2,2,2,3,2
102231780,,,2,2,2,2,Don't know what it is,1,Don't know what it is,3,2,2,1,1,2,2,,2,2,2,2,2,2,1,0,,0,1,1,Don't know what it is,,1,2,2,1,,2,3,1,2,2,,,,2,2,2,2,2
102231879,,,2,1,2,0,2,1,2,2,2,2,Don't know what it is,0,2,2,1,1,0,0,0,2,2,3,0,,1,1,1,1,,Don't know what it is,0,1,Don't know what it is,0,0,1,1,0,1,,,,0,0,0,3,0
102234111,,,3,3,3,2,,3,1,2,1,2,3,3,2,2,Other: ,3,3,3,1,1,3,3,3,,1,2,3,3,,2,2,1,1,3,,2,3,2,0,,,,3,3,,1,3
102235164,,,2,2,,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,,1,1,1,2,,0,1,2,2,1,1,2,3,2,2,,,,2,0,1,1,2
102235173,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2
102236811,,,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,,2,2,2,2,,1,3,3,2,1,3,3,3,3,3,,,,3,3,3,3,3
102238323,,,3,3,3,3,Don't know what it is,3,Don't know what it is,3,Don't know what it is,3,Don't know what it is,Don't know what it is,,3,3,3,Don't know what it is,Don't know what it is,3,1,Don't know,2,Don't know what it is,,3,3,3,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3
102242859,,,2,2,2,3,2,Don't know what it is,Don't know what it is,3,2,2,2,,2,2,3,1,3,3,2,Other: ,2,3,Don't know what it is,,1,2,1,Don't know what it is,,Don't know what it is,1,2,Don't know what it is,Don't know what it is,3,1,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,Other: 
102251589,,,2,2,2,2,2,1,2,2,2,2,Don't know what it is,Don't know what it is,2,2,Other,2,2,2,2,1,2,2,Don't know what it is,,2,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,,,,2,2,2,1,2
102256134,,,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,Don't know what it is,,1,1,1,1,,1,1,2,2,1,1,2,1,1,2,,,,1,1,1,2,1
102257673,,,3,2,2,3,Don't know what it is,2,Don't know what it is,3,2,2,Don't know what it is,Don't know what it is,3,3,2,2,2,2,2,2,Don't know,2,Don't know what it is,,2,3,2,2,,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,,,,Other: ,Don't know what it is,Don't know what it is,2,Other: 
102286653,,,2,2,2,2,2,2,2,1,1,2,1,Don't know what it is,2,2,1,1,1,1,1,2,2,1,0,,1,1,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,1,1,2,2
102286986,,,3,3,2,1,2,,2,2,1,2,2,2,3,3,2,1,1,1,2,1,2,3,0,,3,3,2,1,,1,1,Don't know what it is,1,0,1,3,2,Don't know what it is,2,,,,2,0,1,2,2
102291882,,,3,2,2,3,2,2,Don't know what it is,Other: ,Other: ,3,,Other: ,3,3,Don't know what it is,3,Don't know what it is,Don't know what it is,3,1,2,3,Don't know what it is,,3,2,3,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,3
102322086,,,3,2,2,2,Don't know what it is,2,Don't know what it is,3,2,2,Don't know what it is,1,2,2,2,2,2,2,3,1,2,3,Don't know what it is,,1,Don't know what it is,2,Don't know what it is,,2,2,2,Don't know what it is,1,2,2,2,2,2,,,,1,1,1,Don't know what it is,1
102362523,,,3,3,2,2,3,3,2,2,3,2,2,3,1,3,3,3,3,3,3,2,2,2,0,,2,3,2,3,,3,3,3,3,2,2,3,3,3,2,,,,3,3,3,2,3
102366978,,,3,3,3,3,3,Other: ,Other: ,Other: ,Don't know what it is,Other: ,Other: ,Don't know what it is,Other: ,3,3,3,Other: ,Other: ,3,1,2,2,Other: ,,3,3,3,3,,Other: ,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,3,3,3,3,,,,3,Other: ,Other,2,3
102366978,,,3,3,3,3,3,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,2,Other: ,Other: ,3,3,Other: ,1,Don't know what it is,3,1,2,3,Don't know what it is,,3,3,3,3,,Other: ,Other: ,3,Don't know what it is,Don't know what it is,Don't know what it is,3,Don't know what it is,Don't know what it is,2,,,,Don't know what it is,Don't know what it is,Other: ,2,Other: 
102372612,,,2,2,2,2,2,1,2,2,2,2,1,3,3,2,2,2,2,2,2,2,2,1,1,,1,1,1,2,,2,1,1,2,2,2,2,2,2,2,,,,1,1,1,2,2
102386247,,,2,2,2,3,3,2,2,2,2,2,1,1,2,2,3,2,3,3,2,1,2,1,1,,1,2,1,2,,Don't know what it is,Don't know what it is,2,2,2,2,3,3,3,3,,,,2,1,1,2,2
102387417,,,3,2,3,1,2,2,1,2,2,3,1,Other: ,2,2,3,2,3,3,2,2,2,1,1,,1,2,2,Don't know what it is,,1,1,2,3,2,3,2,2,Don't know what it is,1,,,,1,2,2,2,2
102486462,,,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,3,2,1,3,3,Don't know what it is,,2,3,2,3,,2,2,2,2,2,2,3,3,3,3,,,,3,3,3,2,3
102516045,,,2,Don't know what it is,2,1,1,Don't know what it is,Don't know what it is,1,1,2,Other: ,Other: ,2,2,Other: ,2,2,2,2,Other: ,1,3,0,,2,2,2,2,,1,,Other: ,Don't know what it is,1,0,2,2,2,Other: ,,,,2,2,1,3,Other: 
